state,month,deathTotal,deathPerCapita,deathIncrease,deathIncreasesPerCapita,deathIncreasePercent
AL,2020-01-31,0,0,0,0,0
AL,2020-02-29,0,0,0,0,0
AL,2020-03-31,13,0,13,0,0
AL,2020-04-30,269,5,256,5,1969
AL,2020-05-31,631,13,362,7,135
AL,2020-06-30,950,19,319,6,51
AL,2020-07-15,1211,25,261,5,27
AK,2020-01-31,0,0,0,0,0
AK,2020-02-29,0,0,0,0,0
AK,2020-03-31,3,0,3,0,0
AK,2020-04-30,9,1,6,1,200
AK,2020-05-31,10,1,1,0,11
AK,2020-06-30,14,2,4,1,40
AK,2020-07-15,17,2,3,0,21
AZ,2020-01-31,0,0,0,0,0
AZ,2020-02-29,0,0,0,0,0
AZ,2020-03-31,24,0,24,0,0
AZ,2020-04-30,320,4,296,4,1233
AZ,2020-05-31,906,12,586,8,183
AZ,2020-06-30,1632,22,726,10,80
AZ,2020-07-15,2434,33,802,11,49
AR,2020-01-31,0,0,0,0,0
AR,2020-02-29,0,0,0,0,0
AR,2020-03-31,8,0,8,0,0
AR,2020-04-30,61,2,53,2,662
AR,2020-05-31,133,4,72,2,118
AR,2020-06-30,270,9,137,5,103
AR,2020-07-15,335,11,65,2,24
CA,2020-01-31,0,0,0,0,0
CA,2020-02-29,0,0,0,0,0
CA,2020-03-31,153,0,153,0,0
CA,2020-04-30,1982,5,1829,5,1195
CA,2020-05-31,4213,11,2231,6,113
CA,2020-06-30,5980,15,1767,4,42
CA,2020-07-15,7227,18,1247,3,21
CO,2020-01-31,0,0,0,0,0
CO,2020-02-29,0,0,0,0,0
CO,2020-03-31,51,1,51,1,0
CO,2020-04-30,766,13,715,12,1402
CO,2020-05-31,1181,20,415,7,54
CO,2020-06-30,1508,26,327,6,28
CO,2020-07-15,1594,27,86,1,6
CT,2020-01-31,0,0,0,0,0
CT,2020-02-29,0,0,0,0,0
CT,2020-03-31,69,2,69,2,0
CT,2020-04-30,2257,63,2188,61,3171
CT,2020-05-31,3944,111,1687,47,75
CT,2020-06-30,4322,121,378,11,10
CT,2020-07-15,4380,123,58,2,1
DE,2020-01-31,0,0,0,0,0
DE,2020-02-29,0,0,0,0,0
DE,2020-03-31,12,1,12,1,0
DE,2020-04-30,210,21,198,20,1650
DE,2020-05-31,468,48,258,26,123
DE,2020-06-30,509,52,41,4,9
DE,2020-07-15,521,53,12,1,2
DC,2020-01-31,0,0,0,0,0
DC,2020-02-29,0,0,0,0,0
DC,2020-03-31,9,1,9,1,0
DC,2020-04-30,224,31,215,30,2389
DC,2020-05-31,466,65,242,34,108
DC,2020-06-30,551,76,85,12,18
DC,2020-07-15,571,79,20,3,4
FL,2020-01-31,0,0,0,0,0
FL,2020-02-29,0,0,0,0,0
FL,2020-03-31,77,0,77,0,0
FL,2020-04-30,1290,6,1213,6,1575
FL,2020-05-31,2534,12,1244,6,96
FL,2020-06-30,3604,16,1070,5,42
FL,2020-07-15,4626,21,1022,5,28
GA,2020-01-31,0,0,0,0,0
GA,2020-02-29,0,0,0,0,0
GA,2020-03-31,111,1,111,1,0
GA,2020-04-30,1120,10,1009,9,909
GA,2020-05-31,2042,19,922,9,82
GA,2020-06-30,2805,26,763,7,37
GA,2020-07-15,3091,29,286,3,10
HI,2020-01-31,0,0,0,0,0
HI,2020-02-29,0,0,0,0,0
HI,2020-03-31,0,0,0,0,0
HI,2020-04-30,16,1,16,1,0
HI,2020-05-31,17,1,1,0,6
HI,2020-06-30,18,1,1,0,6
HI,2020-07-15,22,2,4,0,22
ID,2020-01-31,0,0,0,0,0
ID,2020-02-29,0,0,0,0,0
ID,2020-03-31,7,0,7,0,0
ID,2020-04-30,60,3,53,3,757
ID,2020-05-31,82,4,22,1,37
ID,2020-06-30,91,5,9,0,11
ID,2020-07-15,103,6,12,1,13
IL,2020-01-31,0,0,0,0,0
IL,2020-02-29,0,0,0,0,0
IL,2020-03-31,99,1,99,1,0
IL,2020-04-30,2355,19,2256,18,2279
IL,2020-05-31,5390,43,3035,24,129
IL,2020-06-30,7124,56,1734,14,32
IL,2020-07-15,7427,59,303,2,4
IN,2020-01-31,0,0,0,0,0
IN,2020-02-29,0,0,0,0,0
IN,2020-03-31,49,1,49,1,0
IN,2020-04-30,1114,17,1065,16,2173
IN,2020-05-31,2134,32,1020,15,92
IN,2020-06-30,2640,39,506,8,24
IN,2020-07-15,2785,41,145,2,5
IA,2020-01-31,0,0,0,0,0
IA,2020-02-29,0,0,0,0,0
IA,2020-03-31,7,0,7,0,0
IA,2020-04-30,162,5,155,5,2214
IA,2020-05-31,534,17,372,12,230
IA,2020-06-30,715,22,181,6,34
IA,2020-07-15,762,24,47,1,7
KS,2020-01-31,0,0,0,0,0
KS,2020-02-29,0,0,0,0,0
KS,2020-03-31,9,0,9,0,0
KS,2020-04-30,129,4,120,4,1333
KS,2020-05-31,208,7,79,3,61
KS,2020-06-30,270,9,62,2,30
KS,2020-07-15,299,10,29,1,11
KY,2020-01-31,0,0,0,0,0
KY,2020-02-29,0,0,0,0,0
KY,2020-03-31,11,0,11,0,0
KY,2020-04-30,235,5,224,5,2036
KY,2020-05-31,431,10,196,4,83
KY,2020-06-30,565,13,134,3,31
KY,2020-07-15,645,14,80,2,14
LA,2020-01-31,0,0,0,0,0
LA,2020-02-29,0,0,0,0,0
LA,2020-03-31,239,5,239,5,0
LA,2020-04-30,1862,40,1623,35,679
LA,2020-05-31,2791,60,929,20,50
LA,2020-06-30,3221,69,430,9,15
LA,2020-07-15,3461,75,240,5,7
ME,2020-01-31,0,0,0,0,0
ME,2020-02-29,0,0,0,0,0
ME,2020-03-31,5,0,5,0,0
ME,2020-04-30,53,4,48,4,960
ME,2020-05-31,89,7,36,3,68
ME,2020-06-30,105,8,16,1,18
ME,2020-07-15,114,8,9,1,9
MD,2020-01-31,0,0,0,0,0
MD,2020-02-29,0,0,0,0,0
MD,2020-03-31,43,1,43,1,0
MD,2020-04-30,1226,20,1183,19,2751
MD,2020-05-31,2596,43,1370,23,112
MD,2020-06-30,3190,52,594,10,23
MD,2020-07-15,3341,55,151,2,5
MA,2020-01-31,0,0,0,0,0
MA,2020-02-29,0,0,0,0,0
MA,2020-03-31,153,2,153,2,0
MA,2020-04-30,3562,51,3409,49,2228
MA,2020-05-31,6846,98,3284,47,92
MA,2020-06-30,8054,115,1208,17,18
MA,2020-07-15,8368,120,314,5,4
MI,2020-01-31,0,0,0,0,0
MI,2020-02-29,0,0,0,0,0
MI,2020-03-31,551,5,551,5,0
MI,2020-04-30,4434,44,3883,39,705
MI,2020-05-31,5818,58,1384,14,31
MI,2020-06-30,6193,62,375,4,6
MI,2020-07-15,6330,63,137,1,2
MN,2020-01-31,0,0,0,0,0
MN,2020-02-29,0,0,0,0,0
MN,2020-03-31,12,0,12,0,0
MN,2020-04-30,343,6,331,6,2758
MN,2020-05-31,1050,18,707,12,206
MN,2020-06-30,1476,26,426,7,41
MN,2020-07-15,1558,27,82,1,6
MS,2020-01-31,0,0,0,0,0
MS,2020-02-29,0,0,0,0,0
MS,2020-03-31,20,1,20,1,0
MS,2020-04-30,261,9,241,8,1205
MS,2020-05-31,734,25,473,16,181
MS,2020-06-30,1073,36,339,11,46
MS,2020-07-15,1290,43,217,7,20
MO,2020-01-31,0,0,0,0,0
MO,2020-02-29,0,0,0,0,0
MO,2020-03-31,14,0,14,0,0
MO,2020-04-30,329,5,315,5,2250
MO,2020-05-31,772,13,443,7,135
MO,2020-06-30,1015,16,243,4,31
MO,2020-07-15,1102,18,87,1,9
MT,2020-01-31,0,0,0,0,0
MT,2020-02-29,0,0,0,0,0
MT,2020-03-31,4,0,4,0,0
MT,2020-04-30,16,1,12,1,300
MT,2020-05-31,17,2,1,0,6
MT,2020-06-30,22,2,5,0,29
MT,2020-07-15,34,3,12,1,55
NE,2020-01-31,0,0,0,0,0
NE,2020-02-29,0,0,0,0,0
NE,2020-03-31,3,0,3,0,0
NE,2020-04-30,68,3,65,3,2167
NE,2020-05-31,170,9,102,5,150
NE,2020-06-30,269,14,99,5,58
NE,2020-07-15,286,15,17,1,6
NV,2020-01-31,0,0,0,0,0
NV,2020-02-29,0,0,0,0,0
NV,2020-03-31,37,1,37,1,0
NV,2020-04-30,269,9,232,7,627
NV,2020-05-31,444,14,175,6,65
NV,2020-06-30,507,16,63,2,14
NV,2020-07-15,618,20,111,4,22
NH,2020-01-31,0,0,0,0,0
NH,2020-02-29,0,0,0,0,0
NH,2020-03-31,3,0,3,0,0
NH,2020-04-30,66,5,63,5,2100
NH,2020-05-31,242,18,176,13,267
NH,2020-06-30,367,27,125,9,52
NH,2020-07-15,392,29,25,2,7
NJ,2020-01-31,0,0,0,0,0
NJ,2020-02-29,0,0,0,0,0
NJ,2020-03-31,267,3,267,3,0
NJ,2020-04-30,7228,81,6961,78,2607
NJ,2020-05-31,11698,131,4470,50,62
NJ,2020-06-30,15035,168,3337,37,29
NJ,2020-07-15,15607,175,572,6,4
NM,2020-01-31,0,0,0,0,0
NM,2020-02-29,0,0,0,0,0
NM,2020-03-31,4,0,4,0,0
NM,2020-04-30,112,5,108,5,2700
NM,2020-05-31,351,17,239,11,213
NM,2020-06-30,493,24,142,7,40
NM,2020-07-15,551,26,58,3,12
NY,2020-01-31,0,0,0,0,0
NY,2020-02-29,0,0,0,0,0
NY,2020-03-31,1550,8,1550,8,0
NY,2020-04-30,18321,94,16771,86,1082
NY,2020-05-31,23905,123,5584,29,30
NY,2020-06-30,24855,128,950,5,4
NY,2020-07-15,25003,129,148,1,1
NC,2020-01-31,0,0,0,0,0
NC,2020-02-29,0,0,0,0,0
NC,2020-03-31,8,0,8,0,0
NC,2020-04-30,378,4,370,3,4625
NC,2020-05-31,886,8,508,5,134
NC,2020-06-30,1343,13,457,4,52
NC,2020-07-15,1568,15,225,2,17
ND,2020-01-31,0,0,0,0,0
ND,2020-02-29,0,0,0,0,0
ND,2020-03-31,3,0,3,0,0
ND,2020-04-30,19,2,16,2,533
ND,2020-05-31,48,6,29,4,153
ND,2020-06-30,78,10,30,4,62
ND,2020-07-15,81,11,3,0,4
OH,2020-01-31,0,0,0,0,0
OH,2020-02-29,0,0,0,0,0
OH,2020-03-31,55,0,55,0,0
OH,2020-04-30,975,8,920,8,1673
OH,2020-05-31,2155,18,1180,10,121
OH,2020-06-30,2863,24,708,6,33
OH,2020-07-15,3075,26,212,2,7
OK,2020-01-31,0,0,0,0,0
OK,2020-02-29,0,0,0,0,0
OK,2020-03-31,23,1,23,1,0
OK,2020-04-30,222,6,199,5,865
OK,2020-05-31,334,8,112,3,50
OK,2020-06-30,387,10,53,1,16
OK,2020-07-15,432,11,45,1,12
OR,2020-01-31,0,0,0,0,0
OR,2020-02-29,0,0,0,0,0
OR,2020-03-31,18,0,18,0,0
OR,2020-04-30,103,2,85,2,472
OR,2020-05-31,153,4,50,1,49
OR,2020-06-30,207,5,54,1,35
OR,2020-07-15,244,6,37,1,18
PA,2020-01-31,0,0,0,0,0
PA,2020-02-29,0,0,0,0,0
PA,2020-03-31,63,0,63,0,0
PA,2020-04-30,2292,18,2229,17,3538
PA,2020-05-31,5555,43,3263,25,142
PA,2020-06-30,6649,52,1094,9,20
PA,2020-07-15,6957,54,308,2,5
RI,2020-01-31,0,0,0,0,0
RI,2020-02-29,0,0,0,0,0
RI,2020-03-31,8,1,8,1,0
RI,2020-04-30,266,25,258,24,3225
RI,2020-05-31,718,68,452,43,170
RI,2020-06-30,950,90,232,22,32
RI,2020-07-15,987,93,37,4,4
SC,2020-01-31,0,0,0,0,0
SC,2020-02-29,0,0,0,0,0
SC,2020-03-31,22,0,22,0,0
SC,2020-04-30,244,5,222,4,1009
SC,2020-05-31,494,9,250,5,102
SC,2020-06-30,739,14,245,5,50
SC,2020-07-15,998,19,259,5,35
SD,2020-01-31,0,0,0,0,0
SD,2020-02-29,0,0,0,0,0
SD,2020-03-31,1,0,1,0,0
SD,2020-04-30,17,2,16,2,1600
SD,2020-05-31,62,7,45,5,265
SD,2020-06-30,91,10,29,3,47
SD,2020-07-15,111,12,20,2,22
TN,2020-01-31,0,0,0,0,0
TN,2020-02-29,0,0,0,0,0
TN,2020-03-31,23,0,23,0,0
TN,2020-04-30,199,3,176,3,765
TN,2020-05-31,364,5,165,2,83
TN,2020-06-30,604,9,240,3,66
TN,2020-07-15,783,11,179,3,30
TX,2020-01-31,0,0,0,0,0
TX,2020-02-29,0,0,0,0,0
TX,2020-03-31,41,0,41,0,0
TX,2020-04-30,782,3,741,3,1807
TX,2020-05-31,1672,6,890,3,114
TX,2020-06-30,2424,8,752,3,45
TX,2020-07-15,3432,12,1008,3,42
UT,2020-01-31,0,0,0,0,0
UT,2020-02-29,0,0,0,0,0
UT,2020-03-31,5,0,5,0,0
UT,2020-04-30,46,1,41,1,820
UT,2020-05-31,113,3,67,2,146
UT,2020-06-30,172,5,59,2,52
UT,2020-07-15,233,7,61,2,35
VT,2020-01-31,0,0,0,0,0
VT,2020-02-29,0,0,0,0,0
VT,2020-03-31,13,2,13,2,0
VT,2020-04-30,49,8,36,6,277
VT,2020-05-31,55,9,6,1,12
VT,2020-06-30,56,9,1,0,2
VT,2020-07-15,56,9,0,0,0
VA,2020-01-31,0,0,0,0,0
VA,2020-02-29,0,0,0,0,0
VA,2020-03-31,27,0,27,0,0
VA,2020-04-30,552,6,525,6,1944
VA,2020-05-31,1375,16,823,10,149
VA,2020-06-30,1763,20,388,4,28
VA,2020-07-15,1992,23,229,3,13
WA,2020-01-31,0,0,0,0,0
WA,2020-02-29,5,0,5,0,0
WA,2020-03-31,262,3,257,3,5140
WA,2020-04-30,801,10,539,7,206
WA,2020-05-31,1118,14,317,4,40
WA,2020-06-30,1320,17,202,3,18
WA,2020-07-15,1404,18,84,1,6
WV,2020-01-31,0,0,0,0,0
WV,2020-02-29,0,0,0,0,0
WV,2020-03-31,1,0,1,0,0
WV,2020-04-30,41,2,40,2,4000
WV,2020-05-31,75,4,34,2,83
WV,2020-06-30,93,5,18,1,24
WV,2020-07-15,97,5,4,0,4
WI,2020-01-31,0,0,0,0,0
WI,2020-02-29,0,0,0,0,0
WI,2020-03-31,16,0,16,0,0
WI,2020-04-30,316,5,300,5,1875
WI,2020-05-31,592,10,276,5,87
WI,2020-06-30,784,13,192,3,32
WI,2020-07-15,834,14,50,1,6
WY,2020-01-31,0,0,0,0,0
WY,2020-02-29,0,0,0,0,0
WY,2020-03-31,0,0,0,0,0
WY,2020-04-30,7,1,7,1,0
WY,2020-05-31,16,3,9,2,129
WY,2020-06-30,20,4,4,1,25
WY,2020-07-15,22,4,2,0,10
