state,month,hospitalizedCumulativeTotal,hospitalizedCumulativePerCapita,hospitalizedCumulativeIncrease,hospitalizedCumulativeIncreasesPerCapita,hospitalizedCumulativeIncreasePercent
AL,2020-01-31,0,0,0,0,0
AL,2020-02-29,0,0,0,0,0
AL,2020-03-31,0,0,0,0,0
AL,2020-04-30,978,20,978,20,0
AL,2020-05-31,1844,38,866,18,89
AL,2020-06-30,2769,56,925,19,50
AL,2020-07-15,7291,149,4522,92,163
AK,2020-01-31,0,0,0,0,0
AK,2020-02-29,0,0,0,0,0
AK,2020-03-31,7,1,7,1,0
AK,2020-04-30,0,0,-7,-1,-100
AK,2020-05-31,0,0,0,0,0
AK,2020-06-30,0,0,0,0,0
AK,2020-07-15,0,0,0,0,0
AZ,2020-01-31,0,0,0,0,0
AZ,2020-02-29,0,0,0,0,0
AZ,2020-03-31,534,7,534,7,0
AZ,2020-04-30,1937,26,1403,19,263
AZ,2020-05-31,3379,46,1442,20,74
AZ,2020-06-30,4736,64,1357,18,40
AZ,2020-07-15,6103,83,1367,19,29
AR,2020-01-31,0,0,0,0,0
AR,2020-02-29,0,0,0,0,0
AR,2020-03-31,0,0,0,0,0
AR,2020-04-30,402,13,402,13,0
AR,2020-05-31,711,23,309,10,77
AR,2020-06-30,1413,46,702,23,99
AR,2020-07-15,1948,64,535,18,38
CA,2020-01-31,0,0,0,0,0
CA,2020-02-29,0,0,0,0,0
CA,2020-03-31,0,0,0,0,0
CA,2020-04-30,0,0,0,0,0
CA,2020-05-31,0,0,0,0,0
CA,2020-06-30,0,0,0,0,0
CA,2020-07-15,0,0,0,0,0
CO,2020-01-31,0,0,0,0,0
CO,2020-02-29,0,0,0,0,0
CO,2020-03-31,414,7,414,7,0
CO,2020-04-30,2621,45,2207,38,533
CO,2020-05-31,4333,74,1712,29,65
CO,2020-06-30,5442,93,1109,19,26
CO,2020-07-15,5963,102,521,9,10
CT,2020-01-31,0,0,0,0,0
CT,2020-02-29,0,0,0,0,0
CT,2020-03-31,0,0,0,0,0
CT,2020-04-30,0,0,0,0,0
CT,2020-05-31,12538,352,12538,352,0
CT,2020-06-30,10268,288,-2270,-64,-18
CT,2020-07-15,10552,296,284,8,3
DE,2020-01-31,0,0,0,0,0
DE,2020-02-29,0,0,0,0,0
DE,2020-03-31,0,0,0,0,0
DE,2020-04-30,0,0,0,0,0
DE,2020-05-31,0,0,0,0,0
DE,2020-06-30,0,0,0,0,0
DE,2020-07-15,0,0,0,0,0
DC,2020-01-31,0,0,0,0,0
DC,2020-02-29,0,0,0,0,0
DC,2020-03-31,0,0,0,0,0
DC,2020-04-30,0,0,0,0,0
DC,2020-05-31,0,0,0,0,0
DC,2020-06-30,0,0,0,0,0
DC,2020-07-15,0,0,0,0,0
FL,2020-01-31,0,0,0,0,0
FL,2020-02-29,0,0,0,0,0
FL,2020-03-31,823,4,823,4,0
FL,2020-04-30,5795,26,4972,23,604
FL,2020-05-31,10453,48,4658,21,80
FL,2020-06-30,14879,68,4426,20,42
FL,2020-07-15,19659,89,4780,22,32
GA,2020-01-31,0,0,0,0,0
GA,2020-02-29,0,0,0,0,0
GA,2020-03-31,833,8,833,8,0
GA,2020-04-30,5156,48,4323,40,519
GA,2020-05-31,7946,74,2790,26,54
GA,2020-06-30,11051,103,3105,29,39
GA,2020-07-15,14102,131,3051,28,28
HI,2020-01-31,0,0,0,0,0
HI,2020-02-29,0,0,0,0,0
HI,2020-03-31,12,1,12,1,0
HI,2020-04-30,69,5,57,4,475
HI,2020-05-31,83,6,14,1,20
HI,2020-06-30,111,8,28,2,34
HI,2020-07-15,133,9,22,2,20
ID,2020-01-31,0,0,0,0,0
ID,2020-02-29,0,0,0,0,0
ID,2020-03-31,45,2,45,2,0
ID,2020-04-30,175,10,130,7,289
ID,2020-05-31,242,13,67,4,38
ID,2020-06-30,322,18,80,4,33
ID,2020-07-15,510,28,188,10,58
IL,2020-01-31,0,0,0,0,0
IL,2020-02-29,0,0,0,0,0
IL,2020-03-31,0,0,0,0,0
IL,2020-04-30,0,0,0,0,0
IL,2020-05-31,0,0,0,0,0
IL,2020-06-30,0,0,0,0,0
IL,2020-07-15,0,0,0,0,0
IN,2020-01-31,0,0,0,0,0
IN,2020-02-29,0,0,0,0,0
IN,2020-03-31,0,0,0,0,0
IN,2020-04-30,0,0,0,0,0
IN,2020-05-31,5285,78,5285,78,0
IN,2020-06-30,7065,105,1780,26,34
IN,2020-07-15,7686,114,621,9,9
IA,2020-01-31,0,0,0,0,0
IA,2020-02-29,0,0,0,0,0
IA,2020-03-31,94,3,94,3,0
IA,2020-04-30,0,0,-94,-3,-100
IA,2020-05-31,0,0,0,0,0
IA,2020-06-30,0,0,0,0,0
IA,2020-07-15,0,0,0,0,0
KS,2020-01-31,0,0,0,0,0
KS,2020-02-29,0,0,0,0,0
KS,2020-03-31,79,3,79,3,0
KS,2020-04-30,523,18,444,15,562
KS,2020-05-31,842,29,319,11,61
KS,2020-06-30,1152,40,310,11,37
KS,2020-07-15,1393,48,241,8,21
KY,2020-01-31,0,0,0,0,0
KY,2020-02-29,0,0,0,0,0
KY,2020-03-31,0,0,0,0,0
KY,2020-04-30,1359,30,1359,30,0
KY,2020-05-31,2272,50,913,20,67
KY,2020-06-30,2621,58,349,8,15
KY,2020-07-15,2823,63,202,4,8
LA,2020-01-31,0,0,0,0,0
LA,2020-02-29,0,0,0,0,0
LA,2020-03-31,0,0,0,0,0
LA,2020-04-30,0,0,0,0,0
LA,2020-05-31,0,0,0,0,0
LA,2020-06-30,0,0,0,0,0
LA,2020-07-15,0,0,0,0,0
ME,2020-01-31,0,0,0,0,0
ME,2020-02-29,0,0,0,0,0
ME,2020-03-31,57,4,57,4,0
ME,2020-04-30,170,13,113,8,198
ME,2020-05-31,283,21,113,8,66
ME,2020-06-30,348,26,65,5,23
ME,2020-07-15,373,28,25,2,7
MD,2020-01-31,0,0,0,0,0
MD,2020-02-29,0,0,0,0,0
MD,2020-03-31,429,7,429,7,0
MD,2020-04-30,4559,75,4130,68,963
MD,2020-05-31,8738,144,4179,69,92
MD,2020-06-30,10844,178,2106,35,24
MD,2020-07-15,11625,191,781,13,7
MA,2020-01-31,0,0,0,0,0
MA,2020-02-29,0,0,0,0,0
MA,2020-03-31,562,8,562,8,0
MA,2020-04-30,5942,85,5380,77,957
MA,2020-05-31,9823,141,3881,56,65
MA,2020-06-30,11337,163,1514,22,15
MA,2020-07-15,11651,167,314,5,3
MI,2020-01-31,0,0,0,0,0
MI,2020-02-29,0,0,0,0,0
MI,2020-03-31,0,0,0,0,0
MI,2020-04-30,0,0,0,0,0
MI,2020-05-31,0,0,0,0,0
MI,2020-06-30,0,0,0,0,0
MI,2020-07-15,0,0,0,0,0
MN,2020-01-31,0,0,0,0,0
MN,2020-02-29,0,0,0,0,0
MN,2020-03-31,112,2,112,2,0
MN,2020-04-30,1044,18,932,16,832
MN,2020-05-31,3047,53,2003,35,192
MN,2020-06-30,4054,71,1007,18,33
MN,2020-07-15,4495,79,441,8,11
MS,2020-01-31,0,0,0,0,0
MS,2020-02-29,0,0,0,0,0
MS,2020-03-31,211,7,211,7,0
MS,2020-04-30,1175,39,964,32,457
MS,2020-05-31,2272,76,1097,37,93
MS,2020-06-30,3156,106,884,30,39
MS,2020-07-15,3629,121,473,16,15
MO,2020-01-31,0,0,0,0,0
MO,2020-02-29,0,0,0,0,0
MO,2020-03-31,0,0,0,0,0
MO,2020-04-30,0,0,0,0,0
MO,2020-05-31,0,0,0,0,0
MO,2020-06-30,0,0,0,0,0
MO,2020-07-15,0,0,0,0,0
MT,2020-01-31,0,0,0,0,0
MT,2020-02-29,0,0,0,0,0
MT,2020-03-31,14,1,14,1,0
MT,2020-04-30,61,6,47,4,336
MT,2020-05-31,67,6,6,1,10
MT,2020-06-30,101,9,34,3,51
MT,2020-07-15,145,13,44,4,44
NE,2020-01-31,0,0,0,0,0
NE,2020-02-29,0,0,0,0,0
NE,2020-03-31,0,0,0,0,0
NE,2020-04-30,0,0,0,0,0
NE,2020-05-31,0,0,0,0,0
NE,2020-06-30,1330,68,1330,68,0
NE,2020-07-15,1442,74,112,6,8
NV,2020-01-31,0,0,0,0,0
NV,2020-02-29,0,0,0,0,0
NV,2020-03-31,0,0,0,0,0
NV,2020-04-30,0,0,0,0,0
NV,2020-05-31,0,0,0,0,0
NV,2020-06-30,0,0,0,0,0
NV,2020-07-15,0,0,0,0,0
NH,2020-01-31,0,0,0,0,0
NH,2020-02-29,0,0,0,0,0
NH,2020-03-31,45,3,45,3,0
NH,2020-04-30,259,19,214,16,476
NH,2020-05-31,449,33,190,14,73
NH,2020-06-30,565,41,116,8,26
NH,2020-07-15,665,48,100,7,18
NJ,2020-01-31,0,0,0,0,0
NJ,2020-02-29,0,0,0,0,0
NJ,2020-03-31,0,0,0,0,0
NJ,2020-04-30,0,0,0,0,0
NJ,2020-05-31,17197,192,17197,192,0
NJ,2020-06-30,19847,222,2650,30,15
NJ,2020-07-15,20774,232,927,10,5
NM,2020-01-31,0,0,0,0,0
NM,2020-02-29,0,0,0,0,0
NM,2020-03-31,0,0,0,0,0
NM,2020-04-30,536,26,536,26,0
NM,2020-05-31,1317,63,781,37,146
NM,2020-06-30,1876,89,559,27,42
NM,2020-07-15,2261,108,385,18,21
NY,2020-01-31,0,0,0,0,0
NY,2020-02-29,0,0,0,0,0
NY,2020-03-31,17085,88,17085,88,0
NY,2020-04-30,77400,398,60315,310,353
NY,2020-05-31,89590,461,12190,63,16
NY,2020-06-30,89995,463,405,2,0
NY,2020-07-15,89995,463,0,0,0
NC,2020-01-31,0,0,0,0,0
NC,2020-02-29,0,0,0,0,0
NC,2020-03-31,0,0,0,0,0
NC,2020-04-30,0,0,0,0,0
NC,2020-05-31,0,0,0,0,0
NC,2020-06-30,0,0,0,0,0
NC,2020-07-15,0,0,0,0,0
ND,2020-01-31,0,0,0,0,0
ND,2020-02-29,0,0,0,0,0
ND,2020-03-31,21,3,21,3,0
ND,2020-04-30,85,11,64,8,305
ND,2020-05-31,167,22,82,11,96
ND,2020-06-30,231,30,64,8,38
ND,2020-07-15,284,37,53,7,23
OH,2020-01-31,0,0,0,0,0
OH,2020-02-29,0,0,0,0,0
OH,2020-03-31,585,5,585,5,0
OH,2020-04-30,3533,30,2948,25,504
OH,2020-05-31,6049,51,2516,21,71
OH,2020-06-30,7839,67,1790,15,30
OH,2020-07-15,9209,78,1370,12,17
OK,2020-01-31,0,0,0,0,0
OK,2020-02-29,0,0,0,0,0
OK,2020-03-31,177,4,177,4,0
OK,2020-04-30,703,18,526,13,297
OK,2020-05-31,985,25,282,7,40
OK,2020-06-30,1520,38,535,14,54
OK,2020-07-15,2170,55,650,16,43
OR,2020-01-31,0,0,0,0,0
OR,2020-02-29,0,0,0,0,0
OR,2020-03-31,154,4,154,4,0
OR,2020-04-30,578,13,424,10,275
OR,2020-05-31,786,18,208,5,36
OR,2020-06-30,1038,24,252,6,32
OR,2020-07-15,1254,29,216,5,21
PA,2020-01-31,0,0,0,0,0
PA,2020-02-29,0,0,0,0,0
PA,2020-03-31,514,4,514,4,0
PA,2020-04-30,0,0,-514,-4,-100
PA,2020-05-31,0,0,0,0,0
PA,2020-06-30,0,0,0,0,0
PA,2020-07-15,0,0,0,0,0
RI,2020-01-31,0,0,0,0,0
RI,2020-02-29,0,0,0,0,0
RI,2020-03-31,0,0,0,0,0
RI,2020-04-30,896,85,896,85,0
RI,2020-05-31,1701,161,805,76,90
RI,2020-06-30,2001,189,300,28,18
RI,2020-07-15,2075,196,74,7,4
SC,2020-01-31,0,0,0,0,0
SC,2020-02-29,0,0,0,0,0
SC,2020-03-31,102,2,102,2,0
SC,2020-04-30,1000,19,898,17,880
SC,2020-05-31,1634,31,634,12,63
SC,2020-06-30,2854,55,1220,23,75
SC,2020-07-15,3744,72,890,17,31
SD,2020-01-31,0,0,0,0,0
SD,2020-02-29,0,0,0,0,0
SD,2020-03-31,12,1,12,1,0
SD,2020-04-30,173,19,161,18,1342
SD,2020-05-31,432,48,259,29,150
SD,2020-06-30,666,74,234,26,54
SD,2020-07-15,752,83,86,10,13
TN,2020-01-31,0,0,0,0,0
TN,2020-02-29,0,0,0,0,0
TN,2020-03-31,175,3,175,3,0
TN,2020-04-30,1045,15,870,13,497
TN,2020-05-31,1750,25,705,10,67
TN,2020-06-30,2665,39,915,13,52
TN,2020-07-15,3434,50,769,11,29
TX,2020-01-31,0,0,0,0,0
TX,2020-02-29,0,0,0,0,0
TX,2020-03-31,0,0,0,0,0
TX,2020-04-30,0,0,0,0,0
TX,2020-05-31,0,0,0,0,0
TX,2020-06-30,0,0,0,0,0
TX,2020-07-15,0,0,0,0,0
UT,2020-01-31,0,0,0,0,0
UT,2020-02-29,0,0,0,0,0
UT,2020-03-31,73,2,73,2,0
UT,2020-04-30,390,12,317,10,434
UT,2020-05-31,775,24,385,12,99
UT,2020-06-30,1444,44,669,20,86
UT,2020-07-15,1913,58,469,14,32
VT,2020-01-31,0,0,0,0,0
VT,2020-02-29,0,0,0,0,0
VT,2020-03-31,36,6,36,6,0
VT,2020-04-30,0,0,-36,-6,-100
VT,2020-05-31,0,0,0,0,0
VT,2020-06-30,0,0,0,0,0
VT,2020-07-15,0,0,0,0,0
VA,2020-01-31,0,0,0,0,0
VA,2020-02-29,0,0,0,0,0
VA,2020-03-31,165,2,165,2,0
VA,2020-04-30,3654,42,3489,40,2115
VA,2020-05-31,7326,85,3672,43,100
VA,2020-06-30,8982,104,1656,19,23
VA,2020-07-15,10608,123,1626,19,18
WA,2020-01-31,0,0,0,0,0
WA,2020-02-29,0,0,0,0,0
WA,2020-03-31,0,0,0,0,0
WA,2020-04-30,0,0,0,0,0
WA,2020-05-31,3480,45,3480,45,0
WA,2020-06-30,4323,55,843,11,24
WA,2020-07-15,4788,61,465,6,11
WV,2020-01-31,0,0,0,0,0
WV,2020-02-29,0,0,0,0,0
WV,2020-03-31,1,0,1,0,0
WV,2020-04-30,0,0,-1,-0,-100
WV,2020-05-31,0,0,0,0,0
WV,2020-06-30,0,0,0,0,0
WV,2020-07-15,0,0,0,0,0
WI,2020-01-31,0,0,0,0,0
WI,2020-02-29,0,0,0,0,0
WI,2020-03-31,337,6,337,6,0
WI,2020-04-30,1512,26,1175,20,349
WI,2020-05-31,2583,44,1071,18,71
WI,2020-06-30,3446,59,863,15,33
WI,2020-07-15,3923,67,477,8,14
WY,2020-01-31,0,0,0,0,0
WY,2020-02-29,0,0,0,0,0
WY,2020-03-31,17,3,17,3,0
WY,2020-04-30,56,10,39,7,229
WY,2020-05-31,85,15,29,5,52
WY,2020-06-30,117,21,32,6,38
WY,2020-07-15,131,23,14,2,12
