state,month,positiveIncrease,hospitalizedCumulativeIncrease,posHosPercent
AL,January,0,0,
AL,February,0,0,
AL,March,981,0,0.0
AL,April,6038,978,16.197
AL,May,10884,866,7.957
AL,June,20142,925,4.592
AL,July,17500,3976,22.72
AK,January,0,0,
AK,February,0,0,
AK,March,119,7,5.882
AK,April,236,-7,-2.966
AK,May,79,0,0.0
AK,June,506,0,0.0
AK,July,599,0,0.0
AZ,January,0,0,
AZ,February,0,0,
AZ,March,1289,534,41.427
AZ,April,6359,1403,22.063
AZ,May,12288,1442,11.735
AZ,June,59279,1357,2.289
AZ,July,44609,1103,2.473
AR,January,0,0,
AR,February,0,0,
AR,March,523,0,0.0
AR,April,2732,402,14.714
AR,May,3998,309,7.729
AR,June,13524,702,5.191
AR,July,8162,423,5.183
CA,January,0,0,
CA,February,0,0,
CA,March,7482,0,0.0
CA,April,41435,0,0.0
CA,May,61666,0,0.0
CA,June,112334,0,0.0
CA,July,106245,0,0.0
CO,January,0,0,
CO,February,0,0,
CO,March,2627,414,15.759
CO,April,12131,2207,18.193
CO,May,11340,1712,15.097
CO,June,6413,1109,17.293
CO,July,4402,453,10.291
CT,January,0,0,
CT,February,0,0,
CT,March,3128,0,0.0
CT,April,24572,0,0.0
CT,May,14501,12538,86.463
CT,June,4313,-2270,-52.632
CT,July,996,284,28.514
DE,January,0,0,
DE,February,0,0,
DE,March,319,0,0.0
DE,April,4415,0,0.0
DE,May,4764,0,0.0
DE,June,1976,0,0.0
DE,July,1405,0,0.0
DC,January,0,0,
DC,February,0,0,
DC,March,495,0,0.0
DC,April,3828,0,0.0
DC,May,4478,0,0.0
DC,June,1526,0,0.0
DC,July,579,0,0.0
FL,January,0,0,
FL,February,0,0,
FL,March,6338,823,12.985
FL,April,27352,4972,18.178
FL,May,22473,4658,20.727
FL,June,96271,4426,4.597
FL,July,130001,3938,3.029
GA,January,0,0,
GA,February,0,0,
GA,March,3929,833,21.201
GA,April,22226,4323,19.45
GA,May,20831,2790,13.394
GA,June,34305,3105,9.051
GA,July,39278,2425,6.174
HI,January,0,0,
HI,February,0,0,
HI,March,204,12,5.882
HI,April,409,57,13.936
HI,May,38,14,36.842
HI,June,249,28,11.245
HI,July,320,14,4.375
ID,January,0,0,
ID,February,0,0,
ID,March,415,45,10.843
ID,April,1569,130,8.286
ID,May,855,67,7.836
ID,June,2913,80,2.746
ID,July,5150,155,3.01
IL,January,0,0,
IL,February,0,0,
IL,March,5994,0,0.0
IL,April,46924,0,0.0
IL,May,67342,0,0.0
IL,June,23978,0,0.0
IL,July,11693,0,0.0
IN,January,0,0,
IN,February,0,0,
IN,March,2159,0,0.0
IN,April,15676,0,0.0
IN,May,16739,5285,31.573
IN,June,11020,1780,16.152
IN,July,6443,509,7.9
IA,January,0,0,
IA,February,0,0,
IA,March,497,94,18.913
IA,April,6648,-94,-1.414
IA,May,12407,0,0.0
IA,June,9455,0,0.0
IA,July,6522,0,0.0
KS,January,0,0,
KS,February,0,0,
KS,March,428,79,18.458
KS,April,3810,444,11.654
KS,May,5481,319,5.82
KS,June,4724,310,6.562
KS,July,5615,191,3.402
KY,January,0,0,
KY,February,0,0,
KY,March,480,0,0.0
KY,April,4059,1359,33.481
KY,May,5165,913,17.677
KY,June,5920,349,5.895
KY,July,4029,170,4.219
LA,January,0,0,
LA,February,0,0,
LA,March,5237,0,0.0
LA,April,22764,0,0.0
LA,May,11915,0,0.0
LA,June,18179,0,0.0
LA,July,21732,0,0.0
ME,January,0,0,
ME,February,0,0,
ME,March,303,57,18.812
ME,April,792,113,14.268
ME,May,1230,113,9.187
ME,June,928,65,7.004
ME,July,305,24,7.869
MD,January,0,0,
MD,February,0,0,
MD,March,1660,429,25.843
MD,April,20082,4130,20.566
MD,May,31036,4179,13.465
MD,June,14781,2106,14.248
MD,July,5968,623,10.439
MA,January,0,0,
MA,February,0,0,
MA,March,6521,562,8.618
MA,April,55684,5380,9.662
MA,May,34760,3881,11.165
MA,June,11917,1514,12.705
MA,July,2945,274,9.304
MI,January,0,0,
MI,February,0,0,
MI,March,18654,0,0.0
MI,April,28851,0,0.0
MI,May,16063,0,0.0
MI,June,7160,0,0.0
MI,July,6470,0,0.0
MN,January,0,0,
