date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,death,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,totalTestResults,totalTestResultsIncrease,deathIncrease,hospitalizedIncrease
20200715,AK,1631,154462,,32,,,,0,,669,A,7/15/2020 00:00,17,156093,,,,17,,2,52,156093,6620,0,0
20200715,AL,59067,481982,,1362,7291,,941,,514,29736,B,7/15/2020 11:00,1211,540207,,,58225,1183,28,1,1812,541049,11960,47,168
20200715,AR,30297,365479,,458,1948,,,94,279,23523,A,7/15/2020 14:36,335,395212,,,30297,,,5,564,395776,5477,4,76
20200715,AS,0,816,,,,,,,,,C,7/1/2020 00:00,0,,,,,,,60,0,816,0,0,0
20200715,AZ,131354,604608,,3493,6103,929,,671,,16155,A+,7/15/2020 00:00,2434,735184,,,130576,2295,139,4,3257,735962,14019,97,161
20200715,CA,347634,5445642,,8353,,2110,,,,,B,7/15/2020 00:00,7227,5793276,,,347634,,,6,11126,5793276,118321,140,0
20200715,CO,37686,372304,,368,5963,,,,,4844,A,7/15/2020 01:59,1594,,,,34663,,,8,444,409990,5035,5,22
20200715,CT,47636,556463,,67,10552,,,,,8351,B,7/14/2020 20:30,4380,602116,,,45653,3505,875,9,106,604099,12338,8,0
20200715,DC,11026,126918,,95,,24,,15,,1809,A+,7/14/2020 00:00,571,,,,,,,11,80,137944,4028,3,0
20200715,DE,13050,130338,,51,,11,,,,7236,A+,7/14/2020 18:00,521,,,,12069,463,58,10,81,143388,1788,3,0
20200715,FL,301810,2434143,2189,8217,19659,,,,,,A,7/14/2020 23:59,4626,3404892,376345,3019257,301810,4626,,12,10181,2735953,50710,112,458
20200715,GA,127834,1027149,,2786,14102,,2702,,,,A,7/15/2020 14:50,3091,1154983,116295,1038688,127834,,,13,3871,1154983,23949,37,417
20200715,GU,313,17514,,4,,,,,,213,B,7/14/2020 22:15,5,17819,,,305,,,66,1,17827,290,0,0
20200715,HI,1264,96293,,,133,,,,,921,D,7/14/2020 18:00,22,116275,,,,,,15,21,97557,1487,0,5
20200715,IA,36291,351021,,190,,62,,30,,27177,A+,7/15/2020 00:00,762,,,,36291,,,19,442,387312,6904,5,0
20200715,ID,11718,122196,,129,510,33,151,,,3360,A,7/14/2020 19:00,103,133142,,,10946,83,20,16,316,133914,3630,1,10
20200715,IL,157825,1922908,,1454,,324,,130,,,A,7/15/2020 00:00,7427,2079601,,,156693,7226,201,17,1187,2080733,38161,8,0
20200715,IN,53370,533219,,881,7686,284,1634,79,,39571,A+,7/14/2020 23:59,2785,,,,,2592,193,18,685,586589,8180,10,53
20200715,KS,20933,218441,,,1393,65,418,21,159,948,A,7/15/2020 10:00,299,,,,,,,20,875,239374,8199,11,50
20200715,KY,20677,438510,,445,2823,92,1028,,,5475,B,7/15/2020 00:00,645,,,,19737,641,4,21,454,459187,3631,10,21
20200715,LA,84131,917069,,1369,,,,149,,53288,B,7/15/2020 13:00,3461,,,,,3351,110,22,2089,1001200,24745,16,0
20200715,MA,112347,876366,,580,11651,80,,40,,95390,A+,7/15/2020 10:00,8368,1256303,,,106128,8152,216,25,217,988713,10499,28,26
20200715,MD,75016,605072,,447,11625,129,,,,5238,A,7/15/2020 10:00,3341,855941,,,75016,3209,132,24,756,680088,14019,7,140
20200715,ME,3578,124353,,12,373,9,,4,,3079,A+,7/14/2020 23:59,114,127539,4415,122948,3186,113,1,23,12,127931,2456,0,0
20200715,MI,78913,1289006,,543,,184,,107,,53867,A+,7/15/2020 00:00,6330,1387545,98539,1289006,71197,6085,245,26,1049,1367919,34133,4,0
20200715,MN,43742,746755,,254,4495,106,1353,,,38179,A,7/14/2020 17:00,1558,790497,,,43742,1518,40,27,572,790497,12883,10,43
20200715,MO,29714,488233,,875,,,,86,,,B,7/15/2020 15:00,1102,646880,34290,611600,29714,,,29,888,517947,12844,9,0
20200715,MP,36,10664,,,4,,,,,29,D,7/14/2020 04:48,2,11335,,,36,2,,69,3,10700,3,0,0
20200715,MS,38567,318290,,1099,3629,240,,132,,25932,A,7/14/2020 19:00,1290,356488,,,38198,1266,24,28,1025,356857,6644,18,44
20200715,MT,2096,121662,,37,145,,,,,915,C,7/15/2020 00:00,34,,,,2096,,,30,144,123758,2362,0,9
20200715,NC,91266,1193371,,1142,,,,,,67124,A,7/15/2020 12:00,1568,,,,91266,1568,,37,1782,1284637,29791,16,0
20200715,ND,4565,121999,,42,284,,,,,3760,D,7/15/2020 00:00,81,238586,,,4565,77,4,38,72,126564,1531,3,4
20200715,NE,21717,198026,,110,1442,,,,,16205,B,7/14/2020 20:05,286,,,,21717,,,31,318,219743,3508,-2,11
20200715,NH,6091,131018,,23,665,,191,,,5101,B,7/14/2020 09:00,392,,,,6091,,,33,23,137109,1081,1,76
20200715,NJ,176278,1566069,,923,20774,151,,78,,31400,A+,7/15/2020 13:00,15607,,,,176278,13660,1947,34,363,1742347,21116,25,142
20200715,NM,15514,414492,,171,2261,,,,,6429,B,7/14/2020 18:04,551,,,,15514,,,35,223,430006,5651,3,34
20200715,NV,30468,333957,,1051,,251,,124,,826,A+,7/15/2020 13:00,618,457521,,,30468,,,32,849,364425,4245,6,0
20200715,NY,404006,4444519,,831,89995,165,,94,,71782,A,7/14/2020 23:59,25003,,,,404006,,,36,831,4848525,63598,9,0
20200715,OH,69311,993312,,1027,9209,316,2259,146,,47303,B,7/15/2020 14:00,3075,,,,65287,2819,256,39,1316,1062623,18874,6,160
20200715,OK,22813,424512,,561,2170,231,,,,17366,A+,7/13/2020 00:00,432,450388,24954,424512,22813,,,40,1075,447325,6031,4,54
20200715,OR,12805,292651,,235,1254,64,,35,,3129,A+,7/14/2020 03:01,244,,,292651,12151,,,41,0,305456,0,0,0
20200715,PA,97665,870984,,667,,,,92,,74436,A+,7/15/2020 00:00,6957,,,,94873,,,42,994,968649,21366,26,0
20200715,PR,10379,192686,,254,,18,,11,,,B,7/15/2020 06:30,171,194324,3043,191601,3043,75,96,72,256,203065,256,2,0
20200715,RI,17640,158235,,59,2075,5,,3,,1707,A+,7/15/2020 12:00,987,296933,25734,271199,17640,,,44,52,175875,1217,2,5
20200715,SC,62245,463738,,1560,3744,,,,,23849,A,7/14/2020 23:59,998,525983,77107,448876,62071,984,14,45,1856,525983,8502,5,0
20200715,SD,7652,85891,,59,752,,,,,6663,B,7/14/2020 18:00,111,,,,,,,46,80,93543,1379,2,8
20200715,TN,69061,1028612,,1282,3434,,,,,39857,A,7/15/2020 15:00,783,1097053,80368,1016685,68441,755,28,47,2273,1097673,25785,16,56
20200715,TX,282365,2359834,,10471,,,,,,149276,B,7/15/2020 17:00,3432,2642199,,,,,,48,7307,2642199,43519,110,0
20200715,UT,30891,401189,,250,1913,83,515,,214,18593,A+,7/15/2020 11:01,233,,,,30891,,,49,413,432080,7559,7,25
20200715,VA,73527,771455,382,1081,10608,246,,113,,9527,A+,7/14/2020 17:00,1992,842124,,,70669,1882,110,51,1084,844982,14132,15,58
20200715,VI,243,4637,199,,,,,,,112,C,7/15/2020 07:10,6,,,,243,6,,78,37,4880,590,0,0
20200715,VT,1318,77040,,19,,,,,,1104,B,7/15/2020 00:00,56,,,,1318,56,,50,13,78358,734,0,0
20200715,WA,42304,675930,,353,4788,,,55,,,B,7/14/2020 02:59,1404,,,,42304,1404,,53,547,718234,9960,5,10
20200715,WI,42197,686299,177,295,3923,88,810,,,29923,A+,7/15/2020 16:00,834,,,,38727,827,7,55,848,728496,13952,1,31
20200715,WV,4557,213347,,63,,26,,13,,2999,B,7/15/2020 17:00,97,,,,4439,,,54,150,217904,3892,0,0
20200715,WY,1985,40929,,17,131,,,,,1506,B,7/15/2020 18:02,22,59347,1780,57566,1605,,,56,34,42914,2886,0,3
20200714,AK,1579,147894,,25,,,,1,,642,A,7/14/2020 00:00,17,149473,,,,17,,2,40,149473,2883,0,0
20200714,AL,57255,471834,,1353,7123,,931,,511,25783,B,7/14/2020 11:00,1164,,,,56441,1136,28,1,1710,529089,9485,40,378
20200714,AR,29733,360566,,445,1872,,,91,273,22844,A,7/14/2020 15:43,331,389505,,,29733,,,5,794,390299,7325,8,36
20200714,AS,0,816,,,,,,,,,C,7/1/2020 00:00,0,,,,,,,60,0,816,0,0,0
20200714,AZ,128097,593846,,3517,5942,970,,674,,15678,A+,7/14/2020 00:00,2337,721191,,,127345,2208,129,4,4273,721943,19517,92,103
20200714,CA,336508,5338447,,8145,,2083,,,,,B,7/14/2020 00:00,7087,5674955,,,336508,,,6,7346,5674955,130590,47,0
20200714,CO,37242,367713,,378,5941,,,,,4808,A,7/14/2020 01:59,1589,,,,34229,,,8,329,404955,5590,3,46
20200714,CT,47530,544231,,66,10552,,,,,8351,B,7/13/2020 20:30,4372,589778,,,45547,3497,875,9,20,591761,2443,1,0
20200714,DC,10946,122970,,91,,21,,14,,1774,A+,7/13/2020 00:00,568,,,,,,,11,40,133916,3696,0,0
20200714,DE,12969,128631,,48,,10,,,,7184,A+,7/13/2020 18:00,518,,,,11989,460,58,10,90,141600,2237,1,0
20200714,FL,291629,2393614,387,8354,19201,,,,,,A,7/12/2020 23:59,4514,3330418,363828,2957751,291629,4514,,12,9194,2685243,45669,133,384
20200714,GA,123963,1007071,,2741,13685,,2662,,,,A,7/14/2020 14:50,3054,1131034,113044,1017990,123963,,,13,3394,1131034,23067,28,209
20200714,GU,312,17225,,3,,,,,,210,B,7/13/2020 21:35,5,17529,,,304,,,66,0,17537,195,0,0
20200714,HI,1243,94827,,,128,,,,,911,D,7/13/2020 18:00,22,114109,,,,,,15,23,96070,900,3,3
20200714,IA,35849,344559,,186,,67,,32,,26952,A+,7/14/2020 00:00,757,,,,35849,,,19,320,380408,3692,3,0
20200714,ID,11402,118882,,129,500,33,144,,,3262,A,7/13/2020 19:00,102,129540,,,10658,82,20,16,500,130284,3152,0,23
20200714,IL,156638,1885934,,1416,,333,,126,,,A,7/14/2020 00:00,7419,2041440,,,155506,7218,201,17,707,2042572,28446,25,0
20200714,IN,52685,525724,,767,7633,266,1620,73,,39155,A+,7/13/2020 23:59,2775,,,,,2582,193,18,648,578409,8000,13,59
20200714,KS,20058,211117,,,1343,,410,,160,920,A,7/13/2020 00:00,288,,,,,,,20,0,231175,0,0,0
20200714,KY,20223,435333,,449,2802,84,1019,,,5389,B,7/14/2020 00:00,635,,,,19349,631,4,21,570,455556,13671,6,11
20200714,LA,82042,894413,,1362,,,,146,,46334,B,7/14/2020 13:00,3445,,,,,3337,108,22,2215,976455,23029,22,0
20200714,MA,112130,866084,,560,11625,93,,37,,94347,A+,7/14/2020 10:00,8340,1241465,,,105986,8125,215,25,303,978214,12071,10,14
20200714,MD,74260,591809,,415,11485,118,,,,5238,A,7/14/2020 10:00,3334,834408,,,74260,3202,132,24,733,666069,14112,9,18
20200714,ME,3566,121909,,17,373,7,,3,,3062,A+,7/13/2020 23:59,114,125077,4389,120516,3168,113,1,23,8,125475,1513,0,1
20200714,MI,77864,1255922,,543,,184,,109,,53867,A+,7/14/2020 00:00,6326,1353182,97260,1255922,70306,6081,245,26,666,1333786,20359,5,0
20200714,MN,43170,734444,,236,4452,107,1348,,,37749,A,7/13/2020 17:00,1548,777614,,,43170,1510,38,27,398,777614,8625,6,28
20200714,MO,28826,476277,,811,,,,74,,,B,7/14/2020 15:00,1093,633226,33231,599011,28826,,,29,936,505103,9326,10,0
20200714,MP,33,10664,,,4,,,,,19,D,7/12/2020 13:16,2,11335,,,33,2,,69,0,10697,-70,0,0
